symbol,name,rank,is_active,first_historical_data,ticker,marketCap_1E9,description
BTC,Bitcoin,1,1,2013-04-28 18:47:21+00:00,BTC-USD,895.967100928,"Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 18,751,800. The last known price of Bitcoin is 32,956.8434224 USD and is up 0.85 over the last 24 hours. It is currently trading on 9030 active market(s) with $25,228,880,204.99 traded over the last 24 hours. More information can be found at https://bitcoin.org/."
ETH,Ethereum,2,1,2015-08-07 14:49:30+00:00,ETH-USD,416.989282304,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 116,622,111.9365. The last known price of Ethereum is 2,099.55983421 USD and is down -3.02 over the last 24 hours. It is currently trading on 5824 active market(s) with $20,877,738,733.48 traded over the last 24 hours. More information can be found at https://www.ethereum.org/."
ADA,Cardano,3,1,2017-10-01 20:34:25+00:00,ADA-USD,90.905608192,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 32,704,886,184.416 with 31,946,328,269.464 in circulation. The last known price of Cardano is 1.33647247 USD and is down -2.09 over the last 24 hours. It is currently trading on 262 active market(s) with $1,594,770,584.79 traded over the last 24 hours. More information can be found at https://www.cardano.org."
BNB,Binance Coin,4,1,2017-07-25 04:30:05+00:00,BNB-USD,79.769387008,"Binance Coin (BNB) is a cryptocurrency . Binance Coin has a current supply of 169,432,897 with 153,432,897 in circulation. The last known price of Binance Coin is 308.69451185 USD and is down -2.08 over the last 24 hours. It is currently trading on 521 active market(s) with $1,476,740,898.88 traded over the last 24 hours. More information can be found at https://www.binance.com/."
USDT,Tether,5,1,2015-02-25 13:34:26+00:00,USDT-USD,65.64573184,"Tether (USDT) is a cryptocurrency launched in 2015and operates on the Ethereum platform. Tether has a current supply of 64,469,767,616.826355 with 62,206,822,762.351685 in circulation. The last known price of Tether is 0.99985829 USD and is down -0.01 over the last 24 hours. It is currently trading on 13702 active market(s) with $47,709,481,801.56 traded over the last 24 hours. More information can be found at https://tether.to."
XRP,XRP,6,1,2013-08-04 18:51:05+00:00,XRP-USD,55.54489344,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,990,349,851 with 46,171,815,477 in circulation. The last known price of XRP is 0.61704508 USD and is down -0.78 over the last 24 hours. It is currently trading on 625 active market(s) with $2,259,581,632.04 traded over the last 24 hours. More information can be found at https://xrpl.org/."
DOGE,Dogecoin,7,1,2013-12-15 14:42:34+00:00,DOGE-USD,36.868808704,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 130,358,670,858.74646. The last known price of Dogecoin is 0.21878838 USD and is up 2.68 over the last 24 hours. It is currently trading on 375 active market(s) with $2,994,599,100.91 traded over the last 24 hours. More information can be found at http://dogecoin.com/."
LINK,Chainlink,14,1,2017-09-20 20:54:59+00:00,LINK-USD,12.44319232,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 437,509,553.9174637 in circulation. The last known price of Chainlink is 18.0723039 USD and is down -3.83 over the last 24 hours. It is currently trading on 478 active market(s) with $870,126,224.33 traded over the last 24 hours. More information can be found at https://chain.link/."
BCH,Bitcoin Cash,15,1,2017-07-23 16:29:27+00:00,BCH-USD,12.077182976,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 18,784,837.5. The last known price of Bitcoin Cash is 489.00533011 USD and is down -0.64 over the last 24 hours. It is currently trading on 554 active market(s) with $1,309,649,312.19 traded over the last 24 hours. More information can be found at http://bch.info."
LTC,Litecoin,16,1,2013-04-28 18:47:22+00:00,LTC-USD,11.649903616,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 66,752,414.51538747. The last known price of Litecoin is 130.52041511 USD and is up 0.06 over the last 24 hours. It is currently trading on 714 active market(s) with $1,508,157,883.03 traded over the last 24 hours. More information can be found at https://litecoin.org/."
