symbol,name,rank,is_active,first_historical_data,ticker,description,marketCap_1E9
BTC,Bitcoin,1,1,2013-04-28 18:47:21+00:00,BTC-USD,"Bitcoin (BTC) is a cryptocurrency . Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 18,751,800. The last known price of Bitcoin is 32,956.8434224 USD and is up 0.85 over the last 24 hours. It is currently trading on 9030 active market(s) with $25,228,880,204.99 traded over the last 24 hours. More information can be found at https://bitcoin.org/.",902.05028352
ETH,Ethereum,2,1,2015-08-07 14:49:30+00:00,ETH-USD,"Ethereum (ETH) is a cryptocurrency . Users are able to generate ETH through the process of mining. Ethereum has a current supply of 116,622,111.9365. The last known price of Ethereum is 2,099.55983421 USD and is down -3.02 over the last 24 hours. It is currently trading on 5824 active market(s) with $20,877,738,733.48 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.",399.064072192
ADA,Cardano,3,1,2017-10-01 20:34:25+00:00,ADA-USD,"Cardano (ADA) is a cryptocurrency . Users are able to generate ADA through the process of mining. Cardano has a current supply of 32,704,886,184.416 with 31,946,328,269.464 in circulation. The last known price of Cardano is 1.33647247 USD and is down -2.09 over the last 24 hours. It is currently trading on 262 active market(s) with $1,594,770,584.79 traded over the last 24 hours. More information can be found at https://www.cardano.org.",75.686354944
BNB,Binance Coin,4,1,2017-07-25 04:30:05+00:00,BNB-USD,"Binance Coin (BNB) is a cryptocurrency . Binance Coin has a current supply of 169,432,897 with 153,432,897 in circulation. The last known price of Binance Coin is 308.69451185 USD and is down -2.08 over the last 24 hours. It is currently trading on 521 active market(s) with $1,476,740,898.88 traded over the last 24 hours. More information can be found at https://www.binance.com/.",68.824850432
USDT,Tether,5,1,2015-02-25 13:34:26+00:00,USDT-USD,"Tether (USDT) is a cryptocurrency launched in 2015and operates on the Ethereum platform. Tether has a current supply of 64,469,767,616.826355 with 62,206,822,762.351685 in circulation. The last known price of Tether is 0.99985829 USD and is down -0.01 over the last 24 hours. It is currently trading on 13702 active market(s) with $47,709,481,801.56 traded over the last 24 hours. More information can be found at https://tether.to.",68.337557504
XRP,XRP,6,1,2013-08-04 18:51:05+00:00,XRP-USD,"XRP (XRP) is a cryptocurrency . XRP has a current supply of 99,990,349,851 with 46,171,815,477 in circulation. The last known price of XRP is 0.61704508 USD and is down -0.78 over the last 24 hours. It is currently trading on 625 active market(s) with $2,259,581,632.04 traded over the last 24 hours. More information can be found at https://xrpl.org/.",49.962774528
DOGE,Dogecoin,9,1,2013-12-15 14:42:34+00:00,DOGE-USD,"Dogecoin (DOGE) is a cryptocurrency . Users are able to generate DOGE through the process of mining. Dogecoin has a current supply of 130,358,670,858.74646. The last known price of Dogecoin is 0.21878838 USD and is up 2.68 over the last 24 hours. It is currently trading on 375 active market(s) with $2,994,599,100.91 traded over the last 24 hours. More information can be found at http://dogecoin.com/.",31.508785152
LINK,Chainlink,15,1,2017-09-20 20:54:59+00:00,LINK-USD,"Chainlink (LINK) is a cryptocurrency and operates on the Ethereum platform. Chainlink has a current supply of 1,000,000,000 with 437,509,553.9174637 in circulation. The last known price of Chainlink is 18.0723039 USD and is down -3.83 over the last 24 hours. It is currently trading on 478 active market(s) with $870,126,224.33 traded over the last 24 hours. More information can be found at https://chain.link/.",12.733105152
LTC,Litecoin,16,1,2013-04-28 18:47:22+00:00,LTC-USD,"Litecoin (LTC) is a cryptocurrency . Users are able to generate LTC through the process of mining. Litecoin has a current supply of 66,752,414.51538747. The last known price of Litecoin is 130.52041511 USD and is up 0.06 over the last 24 hours. It is currently trading on 714 active market(s) with $1,508,157,883.03 traded over the last 24 hours. More information can be found at https://litecoin.org/.",12.046788608
BCH,Bitcoin Cash,17,1,2017-07-23 16:29:27+00:00,BCH-USD,"Bitcoin Cash (BCH) is a cryptocurrency . Users are able to generate BCH through the process of mining. Bitcoin Cash has a current supply of 18,784,837.5. The last known price of Bitcoin Cash is 489.00533011 USD and is down -0.64 over the last 24 hours. It is currently trading on 554 active market(s) with $1,309,649,312.19 traded over the last 24 hours. More information can be found at http://bch.info.",11.748148224
FIL,Filecoin,22,1,2017-12-13 20:40:00+00:00,FIL-USD,"Filecoin (FIL) is a cryptocurrency launched in 2020. Users are able to generate FIL through the process of mining. Filecoin has a current supply of 86,419,123. The last known price of Filecoin is 54.48957707 USD and is down -2.14 over the last 24 hours. It is currently trading on 130 active market(s) with $269,863,102.65 traded over the last 24 hours. More information can be found at https://filecoin.io/.",8.969027584
XLM,Stellar,24,1,2014-08-05 05:44:19+00:00,XLM-USD,"Stellar (XLM) is a cryptocurrency . Stellar has a current supply of 50,001,803,221.60836 with 23,010,708,005.77763 in circulation. The last known price of Stellar is 0.57333227 USD and is up 8.83 over the last 24 hours. It is currently trading on 340 active market(s) with $1,924,579,710.47 traded over the last 24 hours. More information can be found at https://www.stellar.org.",7.594661376
TRX,TRON,26,1,2017-09-13 01:15:22+00:00,TRX-USD,"TRON (TRX) is a cryptocurrency . TRON has a current supply of 100,850,743,811.662003 with 71,659,657,369.490005 in circulation. The last known price of TRON is 0.1310085 USD and is up 2.98 over the last 24 hours. It is currently trading on 517 active market(s) with $3,669,746,785.10 traded over the last 24 hours. More information can be found at https://tron.network/.",7.554202112
ETC,Ethereum Classic,27,1,2016-07-24 13:44:30+00:00,ETC-USD,"Ethereum Classic (ETC) is a cryptocurrency . Users are able to generate ETC through the process of mining. Ethereum Classic has a current supply of 116,313,299. The last known price of Ethereum Classic is 75.64546468 USD and is up 31.84 over the last 24 hours. It is currently trading on 277 active market(s) with $18,649,027,346.67 traded over the last 24 hours. More information can be found at https://ethereumclassic.org/.",7.367472128
THETA,THETA,30,1,2018-01-17 17:34:26+00:00,THETA-USD,"THETA (THETA) is a cryptocurrency . THETA has a current supply of 1,000,000,000. The last known price of THETA is 10.85862609 USD and is down -1.13 over the last 24 hours. It is currently trading on 51 active market(s) with $492,225,557.74 traded over the last 24 hours. More information can be found at https://www.thetatoken.org/.",6.306530304
XTZ,Tezos,31,1,2017-10-02 15:59:43+00:00,XTZ-USD,"Tezos (XTZ) is a cryptocurrency launched in 2018. Tezos has a current supply of 768,721,006.916957. The last known price of Tezos is 6.38654528 USD and is up 7.59 over the last 24 hours. It is currently trading on 163 active market(s) with $690,183,355.90 traded over the last 24 hours. More information can be found at https://www.tezos.com/.",5.42097152
EOS,EOS,32,1,2017-07-01 19:14:14+00:00,EOS-USD,"EOS (EOS) is a cryptocurrency . EOS has a current supply of 1,029,283,941.1499 with 953,116,862.9058 in circulation. The last known price of EOS is 7.52820842 USD and is up 9.23 over the last 24 hours. It is currently trading on 476 active market(s) with $6,401,964,952.29 traded over the last 24 hours. More information can be found at https://eos.io/.",5.15912192
XMR,Monero,34,1,2014-05-21 01:41:13+00:00,XMR-USD,"Monero (XMR) is a cryptocurrency . Users are able to generate XMR through the process of mining. Monero has a current supply of 17,902,505.65649261. The last known price of Monero is 405.23035721 USD and is up 0.06 over the last 24 hours. It is currently trading on 178 active market(s) with $580,323,087.47 traded over the last 24 hours. More information can be found at https://www.getmonero.org/.",4.831127552
MIOTA,IOTA,38,1,2017-06-13 14:30:09+00:00,MIOTA-USD,"IOTA (MIOTA) is a cryptocurrency . IOTA has a current supply of 2,779,530,283. The last known price of IOTA is 1.98599418 USD and is down -0.16 over the last 24 hours. It is currently trading on 65 active market(s) with $214,389,346.46 traded over the last 24 hours. More information can be found at https://www.iota.org/.",4.519404032
NEO,Neo,47,1,2016-09-09 03:09:33+00:00,NEO-USD,"Neo (NEO) is a cryptocurrency . Neo has a current supply of 100,000,000 with 70,538,831 in circulation. The last known price of Neo is 107.04428173 USD and is up 4.44 over the last 24 hours. It is currently trading on 264 active market(s) with $1,979,400,771.34 traded over the last 24 hours. More information can be found at https://neo.org/.",3.459743744
